vernacular	tree	leaf	tlp	area_excluded	area_included	lt	sw	dw
CASTA	5744	1	-1.70636	89.72695022624433	89.95690497737556	0.2813333333333333	2.28	1.2024
CASTA	5744	2	-1.95388	162.03336470588232	162.15544977375563	0.291	3.91	2.0065
ANGEL	5677	1	-1.64604	158.64731583710406	161.28636018099547	0.24533333333333335	5.36	2.7606
ANGEL	5677	2	-1.5794800000000002	0	0	0.19666666666666663	3.89	1.6515
PIQUI	5950	1	-1.89148	NA	NA	NA	NA	NA
PIQUI	5950	2	-1.879	NA	NA	NA	NA	NA
PIQUI	5953	1	-1.6647599999999998	NA	NA	NA	NA	NA
PIQUI	5953	2	-1.671	NA	NA	NA	NA	NA
ANGEL	5663	1	-1.53788	202.776050678733	209.1910914027149	0.27266666666666667	5.27	2.3417
ANGEL	5663	2	-1.6377199999999998	151.46743167420811	154.09783529411763	0.227	3.53	1.6268
ANGEL	5993	1	-2.03708	116.26317104072396	119.82119819004524	0.267	3.17	1.7418
ANGEL	5993	2	-2.07036	69.85189140271493	70.81993122171944	0.2733333333333334	1.9	0.9976
JARAN	6517	1	-2.09324	161.69804886877827	161.76940452488685	0.17066666666666666	2.89	1.3723
JARAN	6517	2	-2.13484	63.44075294117646	63.538588235294114	0.14966666666666667	0.86	0.355
VIROL	6632	1	-1.77084	61.14956742081447	61.2627330316742	0.14266666666666666	1.18	0.5246
VIROL	6632	2	-1.79996	42.70190045248869	42.847120361990946	0.14733333333333334	0.87	0.3472
ANGEL	6243	1	-2.3033200000000003	154.55384253393663	155.68633484162893	0.32133333333333336	5.28	2.4767
ANGEL	6243	2	-2.17852	111.80567239819004	118.97357104072395	0.2816666666666667	3.47	1.7281
FREIJ	6564	1	-1.87692	36.388876018099545	36.44824615384615	0.303	0.71	0.2802
FREIJ	6564	2	-1.6918	45.12381176470588	45.21133393665158	0.25066666666666665	0.91	0.3588
JARAN	6248	1	-2.0620399999999997	55.70730497737556	55.81238733031674	0.19633333333333333	1.01	0.5258
